task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ae/96b970	96fea1c6-821e-4cc5-a395-1b4864447ebd	alevin (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 13:52:08.439	20m 7s	14m 26s	527.2%	12.7 GB	15.4 GB	27.3 GB	3.2 GB
3	46/58a32a	feacadce-788f-4ddb-bd23-a46b825162dc	generate_permit (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:12:16.259	2m 9s	31.7s	69.7%	395.1 MB	631.3 MB	3.1 GB	157.2 MB
1	d3/bc2081	98212c15-19f6-4302-a7d3-2faf7fea31b5	alevin (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 13:52:08.299	23m 27s	17m 9s	531.2%	12.7 GB	15.4 GB	28.3 GB	5 GB
4	10/645dc5	119ea39d-e837-4e41-917a-4c8cd0ce853a	collate_fry (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:14:26.150	1m 59s	29.1s	360.8%	1.3 GB	2.7 GB	3.4 GB	838.1 MB
5	7f/13ffe4	52ea734d-7e3b-4416-8bb0-6db4e83acf79	generate_permit (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:15:36.285	2m 59s	50.5s	65.9%	172.3 MB	411.3 MB	4.8 GB	168.7 MB
6	9a/311bf4	5fb25e49-0880-4004-af4b-6dd3c498dc2f	quant_fry (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:16:26.302	4m 29s	2m 51s	783.7%	299.4 MB	1.3 GB	888.6 MB	61.7 MB
7	e2/460391	e3bc1a0c-93e8-423f-8ba4-0b589ff49f39	collate_fry (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:18:36.223	2m 59s	39s	403.5%	2.4 GB	4.3 GB	5.1 GB	1.7 GB
8	07/63e8ad	b575212e-6c97-4877-87f0-2afc5759abed	quant_fry (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-04-28 14:21:35.910	7m 20s	4m 56s	789.4%	284.2 MB	1.3 GB	1.7 GB	80.7 MB
