task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	fb/fa88f1	dcb586a3-0485-4725-886c-d33e5b42f752	alevin (SCPCR000119-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:29:44.717	17m 34s	11m 13s	489.6%	1.7 GB	2.4 GB	16.6 GB	1.3 GB
1	9d/b9300b	2f8f76ca-36e3-4ae5-97c7-f36084d288d2	alevin (SCPCR000118-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:29:44.598	17m 53s	12m 53s	472.2%	1.7 GB	2.4 GB	17.7 GB	1.9 GB
3	f7/700f02	45303bdc-86b4-4999-954d-fc643ea49144	generate_permit (SCPCR000119-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:47:20.258	6m 48s	15.7s	54.9%	539.1 MB	759.4 MB	1.1 GB	155.4 MB
4	84/f170e9	167e9980-310e-413d-bf65-f897dba69cb3	generate_permit (SCPCR000118-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:47:38.262	6m 31s	31.3s	32.2%	538.4 MB	759.4 MB	1.8 GB	157.8 MB
5	6a/cd81de	92a918fe-bb62-4e76-b844-72e053925817	collate_fry (SCPCR000119-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:54:09.660	3m 34s	25.8s	188.0%	1 GB	1.7 GB	2.8 GB	1.3 GB
6	1c/9853d4	e04c46b7-b8a3-40bf-ac2b-c39759274a32	collate_fry (SCPCR000118-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:54:10.257	3m 36s	27s	219.3%	1.1 GB	2.1 GB	4.1 GB	2 GB
7	53/6e125e	e737661e-4c59-4823-8fca-8847bbc22633	quant_fry (SCPCR000119-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:57:46.625	2m 46s	1m 40s	779.5%	182 MB	1 GB	696.3 MB	49.5 MB
8	f8/f53cf7	b1db4037-ab25-44b0-be67-b9d2dca7794e	quant_fry (SCPCR000118-spliced_txome_k31)	COMPLETED	0	2021-05-03 17:57:47.553	3m 5s	1m 50s	794.3%	138.7 MB	1 GB	1 GB	51.9 MB
