task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	6e/6e6652	823c0224-495f-4f17-95a2-39fa691d3959	alevin (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:08:57.866	13m 55s	9m 55s	631.8%	12.9 GB	15.4 GB	27.3 GB	3.2 GB
1	a2/c2d808	b01cc293-eaa7-4989-918f-89eb3971b785	alevin (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:08:57.716	14m 45s	12m	603.3%	12.8 GB	15.4 GB	28.3 GB	5 GB
3	e0/bcc004	e369647b-81bc-428b-9b7c-a0bcdc818298	generate_permit (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:22:56.190	3m 7s	35.2s	58.0%	279.1 MB	563.4 MB	3.2 GB	11.7 MB
4	6a/99335f	d5b6fed1-5c86-44d4-b38b-b36a411fedbe	generate_permit (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:23:44.204	3m 59s	1m 11s	46.7%	279 MB	563.4 MB	4.9 GB	10.8 MB
5	5b/670232	629036d2-c15a-4c55-984f-555cd5d47079	collate_fry (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:26:04.007	1m 40s	9.3s	484.3%	957.2 MB	1.8 GB	6.1 GB	2.9 GB
6	47/6919ea	d9dd28c5-32af-489b-9b6d-614df70233fe	collate_fry (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:27:44.228	2m 19s	11.2s	534.4%	1.3 GB	2.6 GB	9.8 GB	4.8 GB
7	c6/8a6b53	43a923e4-67d8-4d14-97a6-489cdd10fc40	quant_fry (SCPCR000119-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:27:45.526	4m 58s	2m 35s	809.9%	360.7 MB	1.3 GB	1.5 GB	85.5 MB
8	d9/efe286	5596fb16-fa0f-4cd8-83d4-d45d09555b4b	quant_fry (SCPCR000118-spliced_intron_txome_k31)	COMPLETED	0	2021-05-04 14:30:04.300	6m 49s	4m 35s	805.0%	342.3 MB	1.3 GB	2.4 GB	100 MB
